"Title","Tomatometer","Fresh","Audience.score","Rating","Parental.Control","Genre1","Genre2","Genre3","Director","Production","DirectorIsWriter","Runtime","Release.Date","Release.Year","Release.Season","Release.isWide"
"On The Rocks",86,"Yes",50,"R","No","comedy",NA,NA,"SofiaCoppola","A24,AmericanZoetrope","Yes",96,2020-10-02,"2020","autumn","No"
"Ryuichi Sakamoto: Coda",98,"Yes",85,"G","Yes","music","documentary",NA,"StephenSchible","AVROTROS,NHK",NA,101,2018-07-06,"2018","summer","No"
"Wolfman's Got Nards",100,"Yes",82,"G","Yes","horror","documentary",NA,"AndreGower","NicholasCaprio,SarbaDas,RitaDoumar,MatthewCharlesDucey,AndreGower,CarlenaGower,AaronKunkel","No",91,2020-10-27,"2020","autumn",""
"The Informer",62,"Yes",56,"R","No","crime","mysteryandthriller","drama","AndreaDiStefano","MaddemFilms,thefyzz,ImaginationParkEntertainment,ThunderRoadPictures","No",113,2020-11-06,"2020","autumn",""
"Terra Willy: Unexplored Planet (Astro Kid)",100,"Yes",75,"PG","No","animation","comedy","scifi","EricTosti","FranceTélévisions,Procirep,France3Cinéma,OCS,CentreNationalduCinémaetdeL'imageAnimée,AgenceNationaledeGestiondes?uvresAudiovisuelles,BacFilms,Ciné+,TatProductions,LogicalPictures,SACEM,RégionOccitanie/Pyrénées-Méditerranée,MasterFilms","No",89,2020-10-23,"2020","autumn","No"
"The True Adventures Of Wolfboy",78,"Yes",62,"PG-13","No","drama",NA,NA,"MartinKrejcí","BigIndiePictures,KPeriodMedia","No",88,2020-10-30,"2020","autumn",""
"Bad Hair",62,"Yes",43,"G","Yes","horror","comedy",NA,"JustinSimien","SightUnseenPictures","Yes",102,2020-10-23,"2020","autumn",""
"His House",100,"Yes",79,"G","Yes","mysteryandthriller","drama",NA,"RemiWeekes","NewRegencyPictures,BBCFilms",NA,90,2020-10-30,"2020","autumn",""
"After We Collided",17,"No",92,"R","No","drama","romance",NA,"RogerKumble","CalMaple,FrayedPagesEntertainment","No",107,2020-10-23,"2020","autumn","No"
"The Craft: Legacy",45,"No",35,"PG-13","No","fantasy","mysteryandthriller",NA,"ZoeListerJones","ColumbiaPictures,BlumhouseProductions,RedWagonEntertainment","Yes",97,2020-10-28,"2020","autumn",""
"Spell",45,"No",65,"R","No","mysteryandthriller","horror",NA,"MarkTonderai","GordonGray,KurtWimmer,MorrisChestnut,BrianWilkins","No",91,2020-10-30,"2020","autumn","No"
"Friendsgiving",24,"No",15,"R","No","other","comedy",NA,"NicolPaone","RedHourFilms,RheaFilms(II)","Yes",95,2020-10-23,"2020","autumn","No"
"Harry Chapin: When In Doubt, Do Something",100,"Yes",100,"G","Yes","music","documentary",NA,"RickKorn","InPlainViewEntertainment",NA,101,2020-10-16,"2020","autumn","No"
"Holidate",45,"No",46,"G","Yes","romance",NA,NA,"JohnWhitesell","WonderlandSoundandVision,Netflix","No",103,2020-10-28,"2020","autumn",""
"Borat: Subsequent Moviefilm",86,"Yes",69,"R","No","comedy",NA,NA,"JasonWoliner","MonicaLevinson","No",96,2020-10-23,"2020","autumn",""
"Sarah Cooper: Everything's Fine",63,"Yes",42,"G","Yes","comedy",NA,NA,"NatashaLyonne",NA,NA,101,2020-10-27,"2020","autumn",""
"Operation Christmas Drop",67,"Yes",51,"G","Yes","other","romance",NA,"MartinWood","BradKrevoy,StevenR.McGlothen","No",95,2020-11-05,"2020","autumn",""
"Kaali Khuhi",50,"No",25,"G","Yes","horror",NA,NA,"TerrieSamundra","Netflix,ManomayMotionPictures","No",90,2020-10-30,"2020","autumn",""
"Buddies",100,"Yes",42,"G","Yes","drama",NA,NA,"ArthurJ.BressanJr.","ArthurJ.BressanJr.",NA,81,1985-09-12,"1985","summer","No"
"Eternal Beauty",80,"Yes",80,"R","No","drama","comedy","romance","CraigRoberts","TheWellcomeTrust,BritishFilmInstitute,CliffEdgePictures,EndeavorContent","Yes",95,2020-10-02,"2020","autumn",""
"The Swerve",100,"Yes",73,"G","Yes","drama",NA,NA,"DeanKapsalis","SparkChamber","Yes",95,2020-09-22,"2020","summer",""
"The Glorias",68,"Yes",68,"R","No","biography","drama",NA,"JulieTaymor","ArtemisRisingFoundation,TheGlorias,PageFifty-FourPictures","No",139,2020-09-30,"2020","autumn",""
"Save Yourselves!",87,"Yes",60,"R","No","comedy",NA,NA,"AlexHustonFischer,EleanorWilson","KeshetStudios,WashingstonSquareFilms,LastRodeoStudios","Yes",93,2020-10-02,"2020","autumn","No"
"She's In Portland",64,"Yes",85,"G","Yes","drama","comedy",NA,"MarcCarlini","SlaterBrothersEntertainment,Tilt/ShiftFilms,SonoftheKnifeFilms","Yes",101,2020-09-25,"2020","autumn",""
"A Call To Spy",74,"Yes",95,"PG-13","No","history","drama",NA,"LydiaDeanPilcher","SMTPictures","No",124,2020-10-02,"2020","autumn","No"
"Sno Babies",25,"No",99,"G","Yes","drama",NA,NA,"BridgetSmith","BetterNoiseFilms,PhillyBornProductions,PhillyBornFilms","No",109,2020-09-29,"2020","autumn",""
"Death Of Me",33,"No",47,"R","No","horror","mysteryandthriller",NA,"DarrenBousman","DobreFilms,EnvisionMediaArts,13Films,BenetoneFilms,MediaFinanceCapital","No",94,2020-10-02,"2020","autumn","No"
"Hosts",82,"Yes",69,"G","Yes","horror",NA,NA,"AdamLeader,RichardOakes","Odin'sLight,DarkFableMedia","No",89,2020-10-02,"2020","autumn",""
"The Doorman",11,"No",32,"R","No","action","mysteryandthriller",NA,"RyûheiKitamura","DoubleDutchInternational","No",96,2020-10-08,"2020","autumn",""
"Then Came You",50,"No",60,"PG-13","No","romance",NA,NA,"AdrianaTrigiani","KathieLeeGifford,AdrianaTrigiani,MatthewT.Weiner","No",97,2020-09-30,"2020","autumn","No"
"The Phenomenon",86,"Yes",95,"G","Yes","documentary",NA,NA,"JamesFox",NA,NA,101,2020-10-06,"2020","autumn",""
"The Wolf Of Snow Hollow",89,"Yes",76,"R","No","horror","mysteryandthriller",NA,"JimCummings","VanishingAngle,NewForm","Yes",83,2020-10-09,"2020","autumn","No"
"Let's Scare Julie",40,"No",29,"G","Yes","horror","mysteryandthriller",NA,"JudCremata","BlitzFilms","Yes",83,2020-10-02,"2020","autumn",""
"Batman: Death In The Family",60,"Yes",47,"G","Yes","action","animation","drama","BrandonVietti",NA,"No",101,2020-10-13,"2020","autumn",""
